WordSense,Word,Reference,POS,NumberOfWords,NumberOfSyllables,RemovalChoice
apple,apple,1,noun,1,2,-
apple,apple,2,noun,1,2,-
apple,apple,3,noun,1,2,-
baby,baby,1,noun,1,2,-
baby,baby,3,noun,1,2,-
ball,ball,1,noun,1,1,-
ball,ball,2,noun,1,1,-
ball,ball,3,noun,1,1,-
bang,bang,4,noun,1,1,-
beep,beep,1,noun,1,1,-
bird,bird,2,noun,1,1,-
bird,birdie,4,noun,1,2,-
bird,bird,1,noun,1,1,-
book,book,1,noun,1,1,-
bottle,bottle,2,noun,1,2,-
bottle,bottle,3,noun,1,2,-
box,box,3,noun,1,1,-
boy,boy,1,noun,1,1,-
boy,boy,3,noun,1,1,-
broom,broom,1,noun,1,1,-
brush,brush,2,noun,1,1,-
buckie,buckie,1,noun,1,2,-
bug,bug,1,noun,1,1,-
bunny,bunny,2,noun,1,2,-
bunny,bunny,4,noun,1,2,-
bye,bye,3,interjection,1,1,-
bye,bye,1,interjection,1,1,-
car,car,2,noun,1,1,-
car,car,1,noun,1,1,-
cat,kitty,1,noun,1,2,-
cat,cat,2,noun,1,1,-
chair,chair,2,noun,1,1,-
clock,clock,1,noun,1,1,-
coat,coat,1,noun,1,1,-
cookie,cookie,3,noun,1,2,-
cookie,cookie,1,noun,1,2,-
cow,cow,3,noun,1,1,-
cow,cow,2,noun,1,1,-
cow,cow,1,noun,1,1,-
cross,cross,4,adjective,1,1,-
cup,cup,2,noun,1,1,-
dad,papa,1,noun,1,2,-
dad,dada,1,noun,1,2,-
dad,daddy,3,noun,1,2,-
dad,daddy,4,noun,1,2,-
diddums,diddums,4,interjection,1,2,-
dish,dish,2,noun,1,1,-
dog,doggy,4,noun,1,2,-
dog,dog,2,noun,1,1,-
dog,doggie,4,noun,1,2,-
done,done,1,adjective,1,1,-
door,doors,1,noun,1,1,-
door,door,3,noun,1,1,-
down,down,3,adverb,1,1,-
down,down,1,adverb,1,1,-
duck,duck,1,noun,1,1,-
duck,duck,2,noun,1,1,-
ear,ears,1,noun,1,1,-
eat,eat,1,verb,1,1,-
eye,eye,3,noun,1,1,-
eye,eyes,1,noun,1,1,-
flower,flower,2,noun,1,2,-
foot,feet,1,noun,1,1,-
foot,foot,1,noun,1,1,-
gate,gate,1,noun,1,2,-
get,get,3,verb,1,1,-
girl,girl,3,noun,1,1,-
go,go,1,verb,1,1,-
go,go,3,verb,1,1,-
gone,gone,1,adjective,1,1,-
green,green,1,adjective,1,1,-
hammer,hammer,3,noun,1,2,-
hat,hat,1,noun,1,1,-
hat,hat,2,noun,1,1,-
hi,hi,1,interjection,1,1,-
hi,hi,3,interjection,1,1,-
horse,horse,3,noun,1,1,-
hot,hot,4,adjective,1,1,-
hot,hot,1,adjective,1,1,-
house,house,2,noun,1,1,-
house,house,1,noun,1,1,-
in,in,1,preposition,1,1,-
in,in,3,preposition,1,1,-
joined-up,joined-up,4,adjective,1,2,-
lamb,lamb,4,noun,1,1,-
meanie,meany,4,noun,1,2,-
meanie,meanie,4,noun,1,2,-
miss,miss,4,noun,1,1,-
more,more,1,adverb,1,1,-
more,more,3,adverb,1,1,-
mouse,mouse,1,noun,1,1,-
mouse,mouse,2,noun,1,1,-
mum,mommy,3,noun,1,2,-
mum,mamma,4,noun,1,2,-
mum,momma,1,noun,1,2,-
mum,mummy,4,noun,1,2,-
mum,mama,4,noun,1,2,-
mush,mush,1,noun,1,1,-
nanny,nan,4,noun,1,1,-
nanny,nana,1,noun,1,2,-
nanny,nanny,4,noun,1,2,-
no,no,1,interjection,1,1,-
no,no,3,interjection,1,1,-
no,no,4,interjection,1,1,-
nose,nose,1,noun,1,1,-
off,off,1,adverb,1,1,-
oh,oh,3,interjection,1,1,-
out,out,3,adverb,1,1,-
pig,piggy,4,noun,1,2,-
pig,pig,1,noun,1,1,-
plane,plane,1,noun,1,1,-
pooh,poo,4,noun,1,1,-
pooh,poopy,1,noun,1,2,-
poppet,poppet,4,noun,1,2,-
potty,potty,1,noun,1,2,-
push,push,1,verb,1,1,-
read,read,1,verb,1,1,-
rock,rock,1,noun,1,1,-
shoe,shoe,2,noun,1,1,-
shoe,shoe,3,noun,1,1,-
shoe,shoes,1,noun,1,1,-
sit,sit,1,verb,1,1,-
sit,sit,3,verb,1,1,-
sock,sock,1,noun,1,1,-
sock,sock,2,noun,1,1,-
spoon,spoon,2,noun,1,1,-
spoon,spoon,3,noun,1,1,-
stairs,stairs,1,noun,1,1,-
stuck,stuck,1,adjective,1,1,-
tattle,tattle,4,verb,1,1,-
thankyou,thankyou,1,interjection,1,2,-
that,that,3,conjunction,1,1,-
this,this,3,pronoun,1,1,-
three,three,1,numeral,1,1,-
toes,tootsies,4,noun,1,2,-
too,too,4,adverb,1,1,-
toot,toot,1,noun,1,1,-
train,train,2,noun,1,1,-
train,train,1,noun,1,1,-
tree,tree,2,noun,1,1,-
tree,tree,1,noun,1,1,-
tummy,tummy,4,noun,1,2,-
two,two,1,numeral,1,1,-
two,two,3,numeral,1,1,-
uh oh,uh oh,1,interjection,1,2,-
uh oh,uhoh,3,interjection,1,2,-
up,up,3,adverb,1,1,-
up,up,1,adverb,1,1,-
wall,wall,1,noun,1,1,-
wee,wee,4,noun,1,1,-
whee,whee,3,interjection,1,2,-
whee,yippee,4,interjection,1,2,-
winkle,wiener,4,noun,1,2,-
winkle,winkle,4,noun,1,1,-
woof,woof,3,noun,1,1,-
yes,yes,3,interjection,1,1,-
yum,yum,3,interjection,1,1,-
