id,category_id,variant_id,speaker_id,speaker_sex,variant_type,word,vector
A_001_01,1,1,1,F,low,apple,-261.7318883256979 -316.74300679480876 -364.1997868914854 -422.6699106878064 173.15594171167947 184.66785476199317 182.11128258332235 171.9878596407242 -69.9098841212443 -41.92081175413196 3.3347521740853794 38.856445426210726 0.5741694937557936 -1.2284379636800626 25.43008290372421 21.35196750235397 -29.493859667744317 -24.855960513346268 -24.547812686165372 -36.599385432058966 -7.308631744838777 -4.368898166573883 -6.039092294781643 -16.720067369349234 -19.91539753243645 -6.705796705232854 15.333700866732473 15.812805132108478
A_001_02,1,2,1,F,low,apple,-256.0599428540259 -361.43026729556175 -374.4352308459825 -406.85107991890067 162.45418999893377 150.7454768803061 159.92048458061382 147.45804260209894 -46.79474861763296 6.5969711733764544 67.98269321817457 81.77157771317631 -9.072446536019775 -10.617612374705512 41.82471732214337 41.9818104059516 -37.64537695248279 -20.705187358665455 -28.373127937979927 -31.148657633524493 -10.508169885857093 -8.221535905263643 -9.417698916911231 -24.4384559005663 -12.537221583294293 4.534173784114939 32.79633023847265 8.39112035959721
A_001_03,1,3,1,F,low,apple,-239.77299101161188 -328.0922896608813 -380.56934053319003 -419.846117946572 175.50331269026753 180.9243418831061 185.38913002391735 167.05558553958113 -48.078842973601205 -11.500550002610295 50.68536540740659 73.16419177071981 -11.087702951522225 -17.545006178119795 18.361800939945788 26.005487881859416 -58.211229719094305 -45.8044717274816 -47.94609965703471 -50.19552103804173 9.772033559804827 0.8740174978992938 -12.497475054506177 -20.63665218604403 -4.413685128907801 19.12881417635505 37.14390624818297 13.010076775096783
A_001_04,1,4,1,F,low,apple,-288.92014571278526 -360.09871330891764 -397.9905470325321 -450.40278097565647 178.9819531966147 192.08356908209254 199.14446866098962 174.30404419839982 -48.20832720783042 -15.013228455336975 47.35913770057449 77.16063684951725 -6.2251193173398205 -5.718582760475625 33.461612005064694 42.572155844064746 -40.341018046230246 -23.34963094570111 -30.125578771298994 -36.45531761250183 5.878283400154901 -7.257138562894088 -16.223324272853084 -26.22505100947199 -5.178414946829572 15.695498172936189 33.985713694928904 10.812199779595314
A_001_05,1,5,1,F,low,apple,-235.9823414719102 -322.90567531439814 -358.36502566899964 -384.7939974088723 186.5050381963788 181.1975937159624 176.4539868521607 151.35215928411742 -49.478111772036755 -15.293294824853406 47.16894074987038 79.36956098160239 -1.9086121798649256 -11.054558228822222 28.945564373056424 46.3380548929863 -30.47575386032459 -10.532431978052252 -32.97210487346523 -56.93433736782335 0.8723912554404085 0.6824021047943442 -12.394947234172122 -16.468239958152175 7.048906721230852 15.109384218023438 29.415138327116782 15.068713329373239
A_001_06,1,6,1,F,low,apple,-292.9958260567388 -386.57053408122937 -405.89972285258915 -439.30574656504075 197.95770507157675 210.29189280286096 208.65610229563467 189.90545315733817 -48.02174340848643 -13.748587467328377 19.487519975127235 28.880583292327543 14.035087751393345 3.9115508285172407 49.967544352555265 74.53808264916594 -35.81667574733017 -24.452620843640247 -39.66728254502581 -21.632171959811124 25.802030217686863 8.920120660263459 -34.75882136258505 -53.6705700204173 -0.08751065817051917 14.807270715088897 31.573895457614103 23.36953249447164
A_001_07,1,7,1,F,low,apple,-253.99992166642872 -340.6797968613233 -374.4475336562995 -425.10563485150794 193.29762333211187 196.02905556710445 195.8672204023943 180.83807063901025 -30.76890649876451 2.4249672472214643 44.470410412259156 67.73231743305244 4.143560685496057 -2.258678470483717 36.396424348224926 40.97376570847493 -40.83798753406806 -33.38932737011042 -38.24559419435889 -29.44858540391464 13.450965892176981 -0.8657650343471072 -23.808437771047785 -28.021905160199225 -4.989008942745078 21.932046815118607 41.0811610963663 30.407853825888168
A_001_08,1,8,1,F,low,apple,-262.9195798399397 -357.70380536502086 -408.60985764729526 -460.4215209464318 199.94212674223195 208.53103301780033 200.73021258061505 189.6865144647113 -45.79993481319224 -19.118849547427665 26.177933411483604 59.69488305855337 -2.097501468876746 -7.154474784668221 35.811604270696904 45.58244845643074 -45.359142060375206 -23.782006170685605 -34.06455790428413 -31.165322613473673 16.72209456556402 1.43133150513007 -20.196279674872287 -33.21074200775196 -12.25222289863365 7.572174743070691 32.24724932419972 18.195858070131884
A_001_09,1,9,1,F,low,apple,-283.49359474650174 -366.28262876892086 -409.0490921683242 -461.64844335415086 191.8415735293703 194.6383379472769 200.9989507358393 199.74645528993224 -49.90258555399933 -20.36390097508132 22.006480029207452 58.56514731236314 3.9265444585903415 3.58683903730572 36.16785647255143 32.60560315651586 -46.23798998492384 -25.929050769800693 -39.8467651581359 -47.95324412350489 14.79462665327753 8.407437681847572 -14.684630914775006 -29.214755432460137 -9.80397606046413 7.05653561703321 31.1746613870757 15.000201057090873
A_001_10,1,10,1,F,low,apple,-283.5948484769188 -347.62047153036895 -379.4154647281673 -455.7614965321272 201.55788953364515 188.94774104730448 196.08864642974157 192.1342367165655 -40.527081987239825 -25.11008775901865 20.53967463276487 65.56468930512932 5.360991067621134 14.471363272912782 42.85292899491078 30.512249494445854 -19.872951449822168 -10.805762721110693 -21.520914828010177 -29.414412752548476 7.98199360697801 3.067708949678849 -20.74150719874233 -35.87044277309897 -6.965236134253544 6.310350376453636 20.165216008729782 10.591763457121122
